Crash Number,City Town Name,Crash Date,Crash Severity,Crash Status,Crash Time,Crash Year,Max Injury Severity Reported,Number of Vehicles,Police Agency Type,State Police Troop,Age of Driver - Youngest Known,Age of Driver - Oldest Known,Age of Vulnerable User - Youngest Known,Age of Vulnerable User - Oldest Known,Crash Hour,Driver Contributing Circumstances (All Drivers),Driver Distracted By (All Vehicles),First Harmful Event,Is Geocoded,Light Conditions,Manner of Collision,MassDOT District,Vulnerable User Action (All Persons),Vulnerable User Location (All Persons),Vulnerable User Type (All Persons),RMV Document Numbers,Road Surface Condition,Roadway Junction Type,RPA Abbreviation,Total Fatalities,Total Non-Fatal Injuries,Traffic Control Device Type,Trafficway Description,Vehicle Actions Prior to Crash (All Vehicles),Vehicle Configuration (All Vehicles),Vehicle Emergency Use (All Vehicles),Vehicle Towed From Scene (All Vehicles),Vehicle Travel Directions (All Vehicles),Weather Conditions,County Name,Crash Report IDs,FMCSA Reportable (All Vehicles),FMCSA Reportable (Crash),First Harmful Event Location,Geocoding Method,Hit and Run,Locality,Most Harmful Event (All Vehicles),Road Contributing Circumstance,School Bus Related,Speed Limit,Traffic Control Device Function,Vehicle Sequence of Events (All Vehicles),Work Zone Related,Vulnerable User Sequence of Events (All Persons),Vulnerable User Distracted By (All Persons),Vulnerable User Traffic Control Type (All persons),Vulnerable User Origin Destination (All Persons),Vulnerable User Contributing Circumstances (All Persons),Vulnerable User Alcohol Suspected Type (All Persons),Vulnerable User Drug Suspected Type (All Persons),X,Y,Latitude,Longitude,Street Number,Roadway,Near Intersection Roadway,Distance and Direction From Intersection,Milemarker,Milemarker Route,Distance and Direction From Milemarker,Exit Number,Exit Route,Distance and Direction From Exit,Landmark,Distance and Direction From Landmark,AADT-linked RD,AADT Year-linked RD,Peak % Single Unit Trucks-linked RD,Single-Unit Truck and Bus AADT-linked RD,Peak % Combo Trucks-linked RD,Combination Truck AADT-linked RD,Curb-linked RD-linked RD,Jurisdiction-linked RD,Truck Route-linked RD,Left Sidewalk Width-linked RD,Right Sidewalk Width-linked RD,Left Shoulder Width-linked RD,Left Shoulder Type-linked RD,Surface Width-linked RD,Surface Type-linked RD,Right Shoulder Width-linked RD,Right Shoulder Type-linked RD,Number of Travel Lanes-linked RD,Number of Opposing Travel Lanes-linked RD,Median Width-linked RD,Median Type-linked RD,Urban Type-linked RD,Functional Classification-linked RD,Urbanized Area-linked RD,Federal Aid Route Number-linked RD,Facility Type-linked RD,Street Operation-linked RD,Access Control-linked RD,Number of Peak Hour Lanes-linked RD,Speed Limit-linked RD,Street Name-linked RD,From Street Name-linked RD,To Street Name-linked RD,City-linked RD-linked RD,Structural Condition-linked RD,Terrain-linked RD,Urban Location Type-linked RD,AADT Derivation-linked RD,AADT Station Number-linked RD,Opposing Direction Speed Limit-linked RD,Undivided Left Shoulder Type-linked RD,Undivided Left Shoulder Width-linked RD,Truck Exclusion Type-linked RD,Truck Exclusion Time-linked RD,Federal Functional Classification-linked RD
"4981027","TYNGSBOROUGH","05/04/2021","Non-fatal injury","Open","8:21 AM","2021","Suspected Minor Injury (B)","2","Local police","","55-64","65-74","","","08:00AM to 08:59AM","D1: (No improper driving)  / D2: (No improper driving) ","D1: Not Distracted / D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Rear-end","4","","",""," PW202119300238","Wet","Driveway","NMCOG","0","1","No controls","Two-way, not divided","V1: Slowing or stopped in traffic / V2: Slowing or stopped in traffic","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: S  / V2: S","Rain","MIDDLESEX"," 21-77-AC","","","Roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","Traffic congestion related","Yes, school bus involved","5","Not reported"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","209152.04052723","937059.18769631","42.68406530","-71.38833185","135"," COBURN RD","","","","","","","","","","","1784","2018","0.056","22","0.112","8","None","City or Town accepted road","","0","0","0","No Shoulder","22","Surface-treated road","0","No Shoulder","2","0","0","None","Large Urbanized Area","Urban collector or rural minor collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","1","35","COBURN ROAD","SHERBURNE AVENUE","PARHAM ROAD","TYNGSBOROUGH","Fair","Level Terrain","","MassDOT Highway Special Count","","35","0","0","","","Major Collector"
"4981028","TYNGSBOROUGH","05/12/2021","Non-fatal injury","Open","10:24 AM","2021","Suspected Minor Injury (B)","2","Local police","","35-44","65-74","","","10:00AM to 10:59AM","D1: (Unknown)  / D2: (No improper driving) ","D1: Not Distracted / D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Sideswipe, opposite direction","4","","",""," PW202119300240","Dry","Not at junction","NMCOG","0","1","No controls","Two-way, divided, unprotected median","V1: Overtaking/passing / V2: Turning left","V1:(Motorcycle) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(Yes, vehicle or trailer disabled)","V1: S  / V2: N","Clear","MIDDLESEX"," 21-79-AC","","","Roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","45","Not reported"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","207062.75843280","935243.07208653","42.66773843","-71.41384648","141"," MIDDLESEX RD","","","","","","","","","","","18866","2018","0.335","844","0.073","116","Left side only","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","0","No Shoulder","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","45","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","MassDOT Highway Special Count","","45","0","0","","","Minor Arterial"
"4981029","TYNGSBOROUGH","05/14/2021","Property damage only (none injured)","Open","11:23 AM","2021","No Apparent Injury (O)","2","Local police","","25-34","35-44","","","11:00AM to 11:59AM","D1: (Unknown)  / D2: (Unknown) ","","Collision with motor vehicle in traffic","Yes","Daylight","Unknown","4","","",""," PW202119300241","Dry","Four-way intersection","NMCOG","0","0","Traffic control signal","Two-way, divided, positive median barrier","V1: Unknown / V2: Unknown","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: N  / V2: N","Clear","MIDDLESEX"," 21-80-AC","","","Roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","Unknown","No, school bus not involved","35","Yes, device functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","205066.22311692","938408.88860498","42.69625267","-71.43817278","440"," MIDDLESEX RD","","","","","","","","","","","20977","2018","0.477","1028","0.068","126","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","46","Bituminous concrete road","12","Hardened bituminous mix or penetration","4","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","35","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","MassDOT Highway Special Count","","99","0","0","","","Minor Arterial"
"4981030","TYNGSBOROUGH","05/19/2021","Non-fatal injury","Open","1:13 AM","2021","Suspected Serious Injury (A)","1","Local police","","18-20","18-20","","","01:00AM to 01:59AM","D1: (No improper driving) ","D1: Not Distracted","Collision with other movable object","Yes","Dark - lighted roadway","Single vehicle crash","4","","",""," PW202119300242","Dry","Not at junction","NMCOG","0","1","No controls","Two-way, not divided","V1: Travelling straight ahead","V1:(Passenger car)","V1:(No)","V1:(Yes, vehicle or trailer disabled)","V1: E","Clear","MIDDLESEX"," 21-82-AC","","","Outside roadway","At Address","No hit and run","","V1:(Collision with other movable object)","None","No, school bus not involved","45","Not reported"," V1:(Collision with other movable object)","No","","","","","","","","208610.05950898","933939.49107540","42.65598793","-71.39499165","185"," PAWTUCKET BLVD","","","","","","","","","","","9642","2018","0.477","171","0.068","52","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","8","Hardened bituminous mix or penetration","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","1","45","PAWTUCKET BOULEVARD","","PAWTUCKET BOULEVARD","TYNGSBOROUGH","Good","Level Terrain","","MassDOT Highway Special Count","","45","Surfaced shoulder exists – Portland Cement Concrete surface (PCC","8","","","Minor Arterial"
"4981031","TYNGSBOROUGH","05/19/2021","Property damage only (none injured)","Open","2:07 PM","2021","No Apparent Injury (O)","2","Local police","","35-44","35-44","","","02:00PM to 02:59PM","D1: (No improper driving)  / D2: (No improper driving) ","D1: Not Distracted / D2: Not Distracted","Collision with parked motor vehicle","Yes","Daylight","Rear to Side","4","","",""," PW202119300137","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V2: Parked / V1: Backing","V2:(Passenger car) / V1:(Bus (seats for 16 or more, including driver))","V1:(No)","V2:(No) / V1:(No)","V2: Not Reported / V1: E","Clear","MIDDLESEX"," 21-84-AC","V1:(Unknown)","Unknown","Roadway","At Address","No hit and run","","V2:(Collision with motor vehicle in traffic) / V1:(Collision with parked motor vehicle)","None","Yes, school bus involved","15","Not reported"," V2:(Collision with motor vehicle in traffic) V1:(Collision with parked motor vehicle)","No","","","","","","","","209408.75753193","933403.51063255","42.65115374","-71.38525953","250"," PAWTUCKET BLVD","","","","","","","","","","","10609","2018","0.477","168","0.068","40","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","2","Hardened bituminous mix or penetration","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","1","40","PAWTUCKET BOULEVARD","","PAWTUCKET BOULEVARD","TYNGSBOROUGH","Good","Level Terrain","","MassDOT Highway Special Count","","40","Surfaced shoulder exists – Portland Cement Concrete surface (PCC","2","","","Minor Arterial"
"4981032","TYNGSBOROUGH","05/20/2021","Property damage only (none injured)","Open","7:46 PM","2021","No Apparent Injury (O)","2","Local police","","21-24","21-24","","","07:00PM to 07:59PM","D1: (Unknown) ","","Collision with motor vehicle in traffic","Yes","Dusk","Unknown","4","","",""," PW202119300243","Dry","T-intersection","NMCOG","0","0","Traffic control signal","Two-way, divided, positive median barrier","V1: Turning left / V2: Not reported","V1:(Passenger car)","V1:(No)","V1:(No)","V1: N  / V2: Not Reported","Clear","MIDDLESEX"," 21-85-AC","","","Roadway","At Intersection","Yes, hit and run","","V1:(Collision with motor vehicle in traffic)","None","No, school bus not involved","35","Yes, device functioning"," V1:(Collision with motor vehicle in traffic)","No","","","","","","","","206705.03740233","936133.11748673","42.67575381","-71.41819964",""," FROST ROAD / CHRONOPOULOS WAY Rte SR113 E","","","","","","","","","","","6201","2018","0.049","85","0","26","","Massachusetts Department of Transportation","","","","","","","","","","","","3","Raised Median","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","","","","","SHERBURNE AVENUE","","","TYNGSBOROUGH","","","","Derived from count data that is three or more years old","","","","","","","Minor Arterial"
"4981033","TYNGSBOROUGH","05/21/2021","Property damage only (none injured)","Open","7:09 PM","2021","No Apparent Injury (O)","2","Local police","","16-17","55-64","","","07:00PM to 07:59PM","D1: (No improper driving)  / D2: (Failed to yield right of way) ","D1: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Front to Front","4","","",""," PW202119300244","Dry","T-intersection","NMCOG","0","0","Traffic control signal","Two-way, not divided","V1: Turning left / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: W  / V2: S","Clear","MIDDLESEX"," 21-86-AC","","","Roadway","At Intersection","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","25","Yes, device functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","206945.12510000","938266.93790000","42.69496030","-71.41524475",""," NORRIS RD / FROST RD","","","","","","","","","","","1154","","","","","","None","City or Town accepted road","","0","0","0","No Shoulder","22","Bituminous concrete road","3","Stable - Unruttable compacted subgrade","2","0","0","None","Large Urbanized Area","Local","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","","NORRIS ROAD","FROST ROAD","LONG POND ROAD","TYNGSBOROUGH","Good","Level Terrain","","","","","0","0","","","Local"
"4981034","TYNGSBOROUGH","05/22/2021","Non-fatal injury","Open","1:02 PM","2021","Suspected Minor Injury (B)","2","Local police","","45-54","45-54","","","01:00PM to 01:59PM","D1: (No improper driving)  / D2: (Unknown) ","","Collision with motor vehicle in traffic","Yes","Daylight","Angle","4","","",""," PW202119300245","Dry","Four-way intersection","NMCOG","0","1","Traffic control signal","Two-way, divided, unprotected median","V1: Travelling straight ahead / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(Yes, vehicle or trailer disabled) / V2:(Yes, vehicle or trailer disabled)","V1: E  / V2: N","Clear","MIDDLESEX"," 21-87-AC","","","Roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","35","Yes, device functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","204934.96370733","938634.28864511","42.69828255","-71.43977270","445"," MIDDLESEX RD","","","","","","","","","","","21283","2018","0.477","1042","0.068","128","Both sides","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","12","Hardened bituminous mix or penetration","2","2","5","Raised Median","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","35","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","Derived from count data that is three or more years old","","99","0","0","","","Minor Arterial"
"4981035","TYNGSBOROUGH","05/26/2021","Property damage only (none injured)","Open","11:53 AM","2021","No Apparent Injury (O)","1","Local police","","18-20","18-20","","","11:00AM to 11:59AM","D1: (Inattention),(Visibility obstructed) ","D1: Not Distracted","Collision with other movable object","Yes","Daylight","Single vehicle crash","4","","",""," PW202119300246","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Backing","V1:(Unknown heavy truck, cannot classify)","V1:(No)","V1:(No)","V1: N","Clear","MIDDLESEX"," 21-88-AC","V1:(Unknown)","Unknown","Outside roadway","At Address","No hit and run","","V1:(Collision with other movable object)","Other","No, school bus not involved","25","Not reported"," V1:(Collision with other movable object)","No","","","","","","","","209182.56048435","936503.43613037","42.67906207","-71.38796837","46"," MASCUPPIC TRL","","","","","","","","","","","1154","","","","","","None","Unaccepted by city or town","","0","0","0","No Shoulder","15","Surface-treated road","2","Stable - Unruttable compacted subgrade","1","0","0","None","Large Urbanized Area","Local","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","","MASCUPPIC TRAIL","FOREST PARK AVENUE","DEAD END","TYNGSBOROUGH","Deficient","Level Terrain","","","","","0","0","","","Local"
"4981036","TYNGSBOROUGH","05/26/2021","Property damage only (none injured)","Open","3:25 PM","2021","No Apparent Injury (O)","2","Local police","","25-34","45-54","","","03:00PM to 03:59PM","D1: (Unknown)  / D2: (Unknown) ","D1: Not Distracted / D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Angle","4","","",""," PW202119300247","Dry","Four-way intersection","NMCOG","0","0","Traffic control signal","Two-way, divided, unprotected median","V1: Turning left / V2: Turning left","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(Yes, other reason not disabled)","V1: W  / V2: W","Clear","MIDDLESEX"," 21-89-AC","","","Roadway","Operator Designated","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","35","Yes, device functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","204909.74040820","938735.21431135","42.69919124","-71.44007966",""," MIDDLESEX ROAD / RAMP-MIDDLESEX RD TO RT 3","","","","","","","","","","","37493","2018","0.477","1837","0.068","225","Both sides","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","12","Hardened bituminous mix or penetration","2","2","5","Raised Median","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","35","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","Derived from count data that is three or more years old","","99","0","0","","","Minor Arterial"
"4981037","TYNGSBOROUGH","05/26/2021","Property damage only (none injured)","Open","6:19 PM","2021","No Apparent Injury (O)","2","Local police","","18-20","18-20","","","06:00PM to 06:59PM","D1: (No improper driving) ","D1: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Angle","4","","",""," PW202119300248","Dry","T-intersection","NMCOG","0","0","No controls","Two-way, not divided","V1: Turning left / V2: Not reported","V1:(Passenger car)","V1:(No)","V1:(No)","V1: W  / V2: Not Reported","Clear","MIDDLESEX"," 21-90-AC","","","Roadway","At Address","Yes, hit and run","","V1:(Collision with motor vehicle in traffic)","Traffic congestion related","No, school bus not involved","35","Not reported"," V1:(Collision with motor vehicle in traffic)","No","","","","","","","","206437.05588302","935739.50166828","42.67221274","-71.42147339","180"," MIDDLESEX RD","","","","","","","","","","","25553","2018","0.477","1252","0.068","153","Both sides","Massachusetts Department of Transportation","","0","0","0","No Shoulder","44","Bituminous concrete road","0","No Shoulder","4","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","45","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","Derived from count data that is three or more years old","","45","0","0","","","Minor Arterial"
"4981038","TYNGSBOROUGH","05/27/2021","Property damage only (none injured)","Open","11:31 AM","2021","No Apparent Injury (O)","2","Local police","","45-54","45-54","","","11:00AM to 11:59AM","D1: (No improper driving) ","D1: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Rear-end","4","","",""," PW202119300249","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Turning left / V2: Not reported","V1:(Passenger car)","V1:(No)","V1:(No)","V1: S  / V2: Not Reported","Clear","MIDDLESEX"," 21-91-AC","","","Roadway","At Address","Yes, hit and run","","V1:(Collision with motor vehicle in traffic)","None","No, school bus not involved","45","No, device not functioning"," V1:(Collision with motor vehicle in traffic)","No","","","","","","","","207564.93991972","934653.58721752","42.66242714","-71.40772851","23"," MERRIMAC WAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MERRIMAC WAY","","","TYNGSBOROUGH","","","","","","","","","","",""
"4981039","TYNGSBOROUGH","05/28/2021","Property damage only (none injured)","Open","11:49 AM","2021","No Apparent Injury (O)","2","Local police","","","","","","11:00AM to 11:59AM","D2: (No improper driving) ","D2: Not Distracted","Collision with parked motor vehicle","Yes","Daylight","Unknown","4","","",""," PW202119300250","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Not reported / V2: Parked","V2:(Light truck(van, mini-van, pickup, sport utility))","V2:(No)","V2:(No)","V1: Not Reported / V2: W","Cloudy","MIDDLESEX"," 21-92-AC","","","Roadway","At Address","No hit and run","","V2:(Collision with parked motor vehicle)","None","No, school bus not involved","15","Not reported"," V2:(Collision with parked motor vehicle)","No","","","","","","","","204934.96370733","938634.28864511","42.69828255","-71.43977270","445"," MIDDLESEX RD","","","","","","","","","","","21283","2018","0.477","1042","0.068","128","Both sides","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","12","Hardened bituminous mix or penetration","2","2","5","Raised Median","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","35","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","Derived from count data that is three or more years old","","99","0","0","","","Minor Arterial"
"4981040","TYNGSBOROUGH","05/30/2021","Property damage only (none injured)","Open","6:07 PM","2021","No Apparent Injury (O)","2","Local police","","21-24","21-24","","","06:00PM to 06:59PM","D2: (Inattention),(Other improper action) ","","Collision with parked motor vehicle","Yes","Daylight","Rear-to-rear","4","","",""," PW202119300138","Wet","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Parked / V2: Backing","V1:(Passenger car) / V2:(Passenger car)","V2:(No)","V1:(No) / V2:(No)","V1: Not Reported / V2: E","Rain","MIDDLESEX"," 21-93-AC","","","Outside roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with parked motor vehicle)","None","No, school bus not involved","10","Not reported"," V1:(Collision with motor vehicle in traffic) V2:(Collision with parked motor vehicle)","No","","","","","","","","205066.22311692","938408.88860498","42.69625267","-71.43817278","440"," MIDDLESEX RD","","","","","","","","","","","20977","2018","0.477","1028","0.068","126","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","46","Bituminous concrete road","12","Hardened bituminous mix or penetration","4","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","35","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","MassDOT Highway Special Count","","99","0","0","","","Minor Arterial"
"4981041","TYNGSBOROUGH","06/01/2021","Property damage only (none injured)","Open","2:49 PM","2021","No Apparent Injury (O)","2","Local police","","45-54","45-54","","","02:00PM to 02:59PM","D1: (Inattention),(Followed too closely)  / D2: (No improper driving) ","D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Rear-to-rear","4","","",""," PW202119300251","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Travelling straight ahead / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(Yes, other reason not disabled) / V2:(No)","V1: E  / V2: E","Clear","MIDDLESEX"," 21-94-AC","","","Roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","45","No, device not functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","209408.75753193","933403.51063255","42.65115374","-71.38525953","250"," PAWTUCKET BLVD","","","","","","","","","","","10609","2018","0.477","168","0.068","40","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","2","Hardened bituminous mix or penetration","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","1","40","PAWTUCKET BOULEVARD","","PAWTUCKET BOULEVARD","TYNGSBOROUGH","Good","Level Terrain","","MassDOT Highway Special Count","","40","Surfaced shoulder exists – Portland Cement Concrete surface (PCC","2","","","Minor Arterial"
"4981042","TYNGSBOROUGH","06/04/2021","Property damage only (none injured)","Open","4:26 PM","2021","No Apparent Injury (O)","2","Local police","","16-17","21-24","","","04:00PM to 04:59PM","D1: (No improper driving)  / D2: (No improper driving) ","D1: Not Distracted / D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Sideswipe, opposite direction","4","","",""," PW202119300252","Dry","T-intersection","NMCOG","0","0","No controls","Two-way, not divided","V1: Travelling straight ahead / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(Yes, vehicle or trailer disabled)","V1: S  / V2: E","Clear","MIDDLESEX"," 21-95-AC","","","Roadway","At Intersection","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","35","Not reported"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","204774.64060000","934513.87520000","42.66119161","-71.44176365",""," DUNSTABLE ROAD / RED GATE ROAD","","","","","","","","","","","4546","2018","0.228","122","0.326","34","None","City or Town accepted road","","0","0","0","No Shoulder","20","Surface-treated road","0","No Shoulder","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","1","35","DUNSTABLE ROAD","DUNSTABLE TOWN LINE","WESTFORD TOWN LINE","TYNGSBOROUGH","Deficient","Level Terrain","","MassDOT Highway Special Count","","35","0","0","","","Minor Arterial"
"4981043","TYNGSBOROUGH","06/06/2021","Property damage only (none injured)","Open","10:34 AM","2021","No Apparent Injury (O)","1","Local police","","16-17","16-17","","","10:00AM to 10:59AM","D1: (Fatigued/asleep) ","","Collision with utility pole","Yes","Daylight","Single vehicle crash","4","","",""," PW202119300253","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Travelling straight ahead","V1:(Passenger car)","V1:(No)","V1:(Yes, vehicle or trailer disabled)","V1: E","Clear","MIDDLESEX"," 21-96-AC","","","Roadway","At Intersection","No hit and run","","V1:(Collision with utility pole)","None","No, school bus not involved","30","No, device not functioning"," V1:(Collision with utility pole)","No","","","","","","","","206353.96860000","934926.99980000","42.66489926","-71.42249599",""," POTASH HILL RD / WESTFORD RD","","","","","","","","","","","","","","","","","","Unaccepted by city or town","","0","0","0","No Shoulder","0","0","0","No Shoulder","0","0","0","None","Large Urbanized Area","Local","Boston (MA-NH-RI)","","","","No Access Control","","","POTASH HILL ROAD","WESTFORD ROAD ","STEINBECK STREET","TYNGSBOROUGH","","Rolling Terrain","","","","","0","0","","","Local"
"4981044","TYNGSBOROUGH","06/10/2021","Property damage only (none injured)","Open","8:20 AM","2021","No Apparent Injury (O)","2","Local police","","55-64","55-64","","","08:00AM to 08:59AM","D1: (Inattention)  / D2: (No improper driving) ","D2: Not Distracted","Collision with parked motor vehicle","Yes","Daylight","Angle","4","","",""," PW202119300255","Dry","Not at junction","NMCOG","0","0","No controls","One-way, not divided","V1: Travelling straight ahead / V2: Parked","V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: N  / V2: N","Clear","MIDDLESEX"," 21-98-AC","","","Roadway","At Address","No hit and run","","V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","5","No, device not functioning"," V1:(Collision with parked motor vehicle) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","205995.75018353","934414.05398387","42.66028455","-71.42687081","95"," WESTFORD RD","","","","","","","","","","","12050","2018","0.477","590","0.068","72","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Surface-treated road","12","Hardened bituminous mix or penetration","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","99","WESTFORD ROAD","WESTFORD TOWN LINE","MIDDLESEX ROAD","TYNGSBOROUGH","Fair","Level Terrain","","Derived from count data that is three or more years old","","99","0","0","","","Minor Arterial"
